trig_num,start_min_win,start_max_win,end_min_win,end_max_win,c,x,x2
2061,-121.85600000000001,-69.15950000000001,260.3915,358.336,531.7414547564495,-0.08513594478636212,9.353797985409673e-05
2067,-120.57600000000001,-56.99400000000001,198.01799999999997,357.568,460.6373218104706,-0.050549005345134665,0.00020194146063755422
2068,-121.08800000000001,-60.579,179.87249999999997,359.104,554.6767190316656,-0.009073275643280239,1.0917460639044108e-05
2069,-120.83200000000001,-61.670500000000004,204.80650000000003,359.36,637.7143406637329,0.04496488442339625,-0.0002709045933617736
2070,-121.60000000000001,-62.444,208.364,358.592,511.6312576195538,-0.01991002590702567,-3.1837340097051175e-05
2074,-121.85600000000001,-84.00750000000001,200.0075,358.336,857.8307656284289,-0.15944374359213268,0.000193097843981307
2077,-121.85600000000001,-67.004,209.34,358.336,551.4951810712504,-0.21711770765782526,0.00027967891700471923
2079,-120.83200000000001,-67.239,186.183,359.36,569.7619066113432,0.021887924482544112,-5.702099032769003e-05
2080,-120.57600000000001,-60.5825,206.0225,357.568,608.5562543513241,-0.010472703913665999,-0.0002464800744040064
2081,-121.85600000000001,-61.70250000000001,187.65449999999998,358.336,533.2445694497974,0.07600701761432149,6.014832955435062e-06
2083,-120.0,-59.8915,186.99550000000002,358.144,510.0366915010308,-0.09273645790191093,0.0002968589360278081
2087,-120.96000000000001,-61.004000000000005,184.94,359.232,534.1003725058106,-0.05884111405703893,-3.486576240057973e-05
2090,-41.856,-20.8715,198.5035,358.464,495.1364040313412,-0.05359684171721489,1.9402376224946167e-05
2093,-121.85600000000001,-62.03,208.942,358.336,500.0931004057491,0.05036024177267563,0.0001503557212420863
2095,-65.792,-32.9225,179.6545,359.104,1558.582345719908,-0.057500804298429915,-2.651204706464379e-05
2099,-90.0,-10.0,180.4035,358.848,530.3693951137076,-0.022974060710286025,-2.8184695508937244e-06
2101,-120.83200000000001,-60.98800000000001,217.404,403.072,960.8520141414344,-0.08455985892578079,3.0023764044904798e-05
2102,-121.85600000000001,-61.228,207.27599999999998,402.048,525.7615880812419,0.017753517579727356,-1.918825849431845e-05
2103,-120.64,-60.9065,167.3065,333.952,505.6207215188427,0.015288284970842059,5.385187482090085e-05
2105,-121.34400000000001,-61.240500000000004,203.09650000000002,402.56,517.4544285497634,-0.04901654434339544,-1.834335778442304e-05
2106,-120.83200000000001,-60.701,214.90900000000002,403.072,585.0271531894766,-0.2208740682865154,0.0003221362515257706
2110,-120.83200000000001,-56.22550000000001,215.87349999999998,403.072,506.7891626622119,0.015415708805959483,-5.9026505982674454e-05
2111,-120.83200000000001,-60.359,216.583,403.072,602.2146809129723,-0.04802225116536,-5.292921348251605e-05
2112,-120.83200000000001,-101.921,267.23299999999995,403.072,581.2851125246362,-0.0674413215390935,2.1849285251015903e-05
2114,-121.85600000000001,-10.0,9.0,26.0,831.5041571746249,0.2875756927689255,0.0018171905670117299
2115,-120.0,-60.045,202.19,403.904,1126.4777240511135,0.04775822772136119,-0.00038327967651975676
2117,-120.57600000000001,-60.559000000000005,201.999,403.32800000000003,518.7531271703303,-0.012349651037076791,-2.842620929263744e-05
2122,-120.83200000000001,-62.157500000000006,266.34950000000003,403.072,497.37220094496655,-0.0075734333767147706,-3.011451157753605e-06
2123,-120.83200000000001,-60.4575,213.4495,403.072,512.1512979338682,0.04259625081345096,1.826454336450209e-05
2125,-120.896,-60.4515,201.62499999999997,403.008,488.68693166552464,0.051883782564505425,4.3278615202503836e-05
2126,-121.664,-60.891,201.32250000000002,402.24,748.2646205298646,-0.22060781514081682,0.00018102686815265725
2129,-121.85600000000001,-61.682,207.41,402.048,518.2365159875717,0.012321269495391063,-4.048265519565196e-07
