trig_num,start_min_win,start_max_win,end_min_win,end_max_win,c,x,x2
105,-120.83200000000001,-60.2505,22.362499999999997,38.848,597.0408319251796,-0.14855711506107175,-0.0011204076715447167
107,-386.048,-250.0,69.327,137.856,546.8156624024919,-0.0021189829082893063,-7.956146688701622e-05
108,-121.60000000000001,-15.0,20.0,358.592,452.04443500336055,0.050743681032030453,7.397526611591343e-05
109,-120.83200000000001,-58.447,150.0,357.312,643.622952850366,0.296685869732284,-0.000784024741956768
110,-309.248,-284.96299999999997,189.0,214.656,519.3339049493316,-0.21178214700421694,0.00015426357412936105
111,-121.85600000000001,-69.483,221.963,358.336,540.8637809584801,0.016488169941640853,-3.228077147643614e-05
114,-385.28000000000003,-100.0,85.19199999999998,138.624,544.751240116182,-0.0665277350606028,0.0001170208990614556
121,-120.256,-64.832,125.0,357.88800000000003,482.34368123863277,0.06751883384908071,2.5882414862206123e-05
130,-300.032,-35.0,150.0,223.872,481.2137823016427,-0.10275157283423417,-0.00010372822512990886
133,-120.83200000000001,-25.0,255.0,359.36,551.8683607626346,-0.019353467491024602,0.00014682663092912144
138,-121.47200000000001,-60.77,179.50650000000002,358.72,484.3590951014174,-0.05516428298108838,0.00011252163152702812
143,-120.32000000000001,-59.749,204.93300000000002,357.824,1036.7493084935884,0.047522518627523894,1.6908411858085097e-05
148,-121.34400000000001,-63.68150000000001,256.0,346.0,526.2791014887488,-0.0278303120732683,7.86408145640864e-05
160,-120.83200000000001,-61.071000000000005,187.887,357.312,587.8953817909704,0.03693628369009856,-0.00013856020748205785
171,-120.83200000000001,-63.5765,192.2805,357.312,545.1130196918197,0.0058280594940161995,1.3397552200097916e-05
179,-120.57600000000001,-60.474500000000006,182.3945,357.568,532.4612312779499,-0.00029087759355187246,-4.701287638525619e-05
185,-121.72800000000001,-60.94500000000001,179.29399999999998,358.464,535.8974945873824,-0.09205289912324571,6.798711634963769e-05
204,-121.08800000000001,-61.638000000000005,211.33399999999997,359.104,538.3329915315627,0.009267571726527517,0.0001552485774549771
207,-121.664,-60.847500000000004,179.294,358.528,1080.0902694247459,-0.006771905055304473,-0.00017022387671554543
