trig_num,start_min_win,start_max_win,end_min_win,end_max_win,c,x,x2
1452,-120.83200000000001,-10.0,50.0,200.0,1265.846112600671,0.0900086549078494,0.0004192510418283668
1453,-120.32000000000001,-60.4185,179.2025,357.824,929.0913934258797,-3.588891916184296e-05,0.0001681093156277248
1456,-120.83200000000001,-69.2655,197.6175,359.36,622.2939922232689,-0.20156697698654327,3.279582390261015e-05
1458,-121.60000000000001,-62.667,221.643,358.592,741.7804911237241,-0.017525349218582505,-3.2255591382606e-05
1461,-120.0,-10.0,50.0,100.0,481.5638502290742,0.017405734161540194,0.0005506077471229512
1463,-120.0,-60.0775,177.1335,354.048,825.4786842658192,-0.04768784672189348,0.00020008135667230818
1467,-121.85600000000001,-61.0585,194.0505,358.336,529.903759545709,-0.06855517854946284,-0.0001303365446081822
1468,-121.60000000000001,-62.88,207.52,358.592,502.35825870793985,-0.14137334342495006,0.00020819322158365753
1472,-120.83200000000001,-60.659000000000006,188.179,359.36,482.83022336396255,-0.1645407411742448,0.00020410406379542205
1481,-19.456,-10.147,179.77900000000002,358.336,757.9442318770762,-1.2317076089385288,0.001853605170430755
1515,-121.85600000000001,-10.0,216.58700000000002,358.336,869.633483566591,0.3479272882477625,-0.00036090851148018563
1518,-120.83200000000001,-60.580000000000005,179.3,357.312,493.6602980373711,-0.041610377968313614,-6.820256392664996e-05
1533,-120.44800000000001,-59.86600000000001,229.59400000000002,357.696,524.6855997799832,-0.002007890354777021,0.00033278423816965905
1540,-120.83200000000001,-61.547000000000004,207.49900000000002,357.312,503.2300113252527,0.040507189822519336,-5.199478865085725e-05
1541,-121.85600000000001,-27.219499999999996,226.22750000000002,358.336,480.1010996648733,0.0902176911318898,9.627507250003948e-06
1546,-120.57600000000001,-10.0,180.51299999999998,359.616,1090.4010553077326,0.021886222269515202,-0.00026058729442118134
1551,-121.85600000000001,-61.786,193.53,358.336,836.8949214776486,0.13526995146223594,-0.0002727263051708734
1552,-121.85600000000001,-65.672,205.0,358.336,531.923238059515,-0.0022168969569307043,3.1152552522264516e-05
1553,-120.57600000000001,-60.3275,179.3675,357.568,772.0779713081599,0.2619130152973229,-0.00020429242961044887
1558,-121.85600000000001,-10.0,196.298,358.336,488.5606907300123,-0.0933977368896988,1.1653011778278475e-05
1559,-107.52,-55.399499999999996,197.1915,358.336,481.4068943983103,-0.015579090443566217,-2.379384590566237e-05
