trig_num,start_min_win,start_max_win,end_min_win,end_max_win,c,x,x2
1384,-35.0,-28.6845,35.0,150.0,860.6234933126086,-2.239609318790407,0.0072373878821774245
1385,-120.06400000000001,-65.03200000000001,201.992,358.08,493.22468834415866,-0.0690475028913774,2.2853688815254587e-05
1390,-120.83200000000001,-63.498000000000005,188.04200000000003,359.36,529.6527381927875,0.0506121474195534,-5.814634918607435e-05
1396,-120.83200000000001,-60.909000000000006,189.069,357.312,613.2005513440886,0.05506397032698344,-0.00034824316795925504
1404,-121.85600000000001,-61.73500000000001,100.0,150.0,523.2579242750786,0.003907674288023252,-2.134556097389941e-05
1406,-121.536,-60.6895,189.9375,358.656,478.51530485967476,-0.03583004976191679,-4.7377868263525345e-05
1416,-120.512,-10.0,180.9,357.632,470.5794527746854,-0.01808299825981461,0.00014321644779887065
1419,-150.0,-20.0,194.8015,255.616,523.6536486087108,-0.2536180096653343,4.484736966552461e-05
1425,-121.92,-61.158500000000004,184.8065,358.272,422.43340352544,-0.08722215712355552,1.4289423351449774e-05
1432,-121.85600000000001,-66.8715,195.76749999999998,358.336,779.9280732932173,-0.19460063874261518,0.0002132792497548464
1435,-120.83200000000001,-61.312000000000005,179.712,359.36,510.1073694669662,-0.01631304641882278,-1.864866709235566e-05
1439,-50.0,-10.0,10.0,50.0,719.3863972653273,-0.3050244999762402,-0.0028432915626331206
1440,-120.96000000000001,-60.676,192.64400000000003,359.232,749.424602615301,-0.05189157548055158,0.00018561396389660462
1443,-121.408,-10.0,181.089,358.784,484.92730605939863,0.08282791189689169,0.00022190014036448672
1446,-120.83200000000001,-67.2415,195.5935,359.36,549.5483112861265,0.09876971747220492,-7.740610312889461e-05
1447,-120.83200000000001,-60.327000000000005,191.71900000000002,359.36,995.3093225839499,0.3130794410774155,-0.0004895961640498012
1449,-121.85600000000001,-61.14600000000001,196.05800000000002,358.336,480.619281578949,-0.08482440178434802,0.00020259218577850865
